proposal_uid,title,group_model,group_binary,element_novel_0,element_novel_1,element_novel_5,element_novel_10
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.11589384,0.16863392,0.19901124,0.21668094
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.061686933,0.12707439,0.15387823,0.16921732
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.1641109,0.23581927,0.26566592,0.28370905
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.12578088,0.2430245,0.28147036,0.3011082
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.14884043,0.21678612,0.24393952,0.25972754
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.071315706,0.11527829,0.14155415,0.15743934
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.08349252,0.12117323,0.14598922,0.16030163
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.07241744,0.12700456,0.15405415,0.16976568
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.062352657,0.12426857,0.15485103,0.17182003
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.15380353,0.22999077,0.26554933,0.28232977
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.089450836,0.21115163,0.24861178,0.2693466
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.15172702,0.2130687,0.24348707,0.2601646
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.06577253,0.13091247,0.1604022,0.17678921
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.07322544,0.12900506,0.15399684,0.16778207
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.07822901,0.13029467,0.15116467,0.16344902
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.13498867,0.23696664,0.28841934,0.3216396
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.13988304,0.24266246,0.2835148,0.30694807
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.0752902,0.1297214,0.15455787,0.16941717
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.11970687,0.18663359,0.21691692,0.23519361
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.0825901,0.12373993,0.14805381,0.1622128
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,0.090349495,0.17263585,0.21099408,0.23662414
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.057499588,0.13425584,0.16516657,0.18092793
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.065666735,0.12959518,0.15486301,0.16998796
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,0.07228446,0.11887563,0.14538188,0.16031703
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,0.076081514,0.121715866,0.14755581,0.16422625
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,0.07108796,0.12402762,0.15339024,0.17056336
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,0.054767907,0.12982649,0.16066338,0.17898075
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,0.084551394,0.15013084,0.18663429,0.20801799
