proposal_uid,title,group_model,group_binary,mean_knn_5,mean_knn_10,mean_knn_20,mean_knn_50
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.10858913,0.11662352,0.12445855,0.13289146
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.06412588,0.0701947,0.07673122,0.08596369
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.2038722,0.20822498,0.21543428,0.22725874
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.12119798,0.1261162,0.13136023,0.13996498
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.073462866,0.076189235,0.080633745,0.087538846
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.12522496,0.12794226,0.13085288,0.13723417
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.07832593,0.08041087,0.08328565,0.08816972
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.06592113,0.06814284,0.07268566,0.079651766
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.06554619,0.07142203,0.076129,0.08281828
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.12069813,0.1248623,0.12877758,0.13523503
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.18775408,0.19636524,0.20747368,0.22004479
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.13829294,0.14158592,0.14507139,0.15240093
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.14551459,0.14952275,0.15545842,0.16421291
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.08138951,0.084194854,0.088253476,0.09379372
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.07317208,0.076225854,0.08067973,0.08694893
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.07088637,0.07457967,0.07822281,0.08467405
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.12808162,0.13189682,0.13641492,0.14306432
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.07585798,0.079803966,0.083820954,0.08920622
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.07625701,0.077910855,0.080805995,0.088521
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.1278238,0.1323032,0.1363582,0.14262271
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,0.072266445,0.076769814,0.08271224,0.09177052
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.074120894,0.07731442,0.0826932,0.09036139
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.17638795,0.18217297,0.18709429,0.19464915
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,0.073662505,0.07966118,0.08442267,0.09154621
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,0.11790947,0.12171394,0.1272169,0.1351127
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,0.06549635,0.07057537,0.07596554,0.08365477
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,0.06775124,0.073897496,0.08006864,0.08837874
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,0.13569616,0.1444057,0.15104401,0.15994538
