method,seed,trustworthiness_k5,trustworthiness_k10,spearman_mean5nn_hd_vs_2d,spearman_p,jaccard_hd_vs_2d_outliers,outlier_overlap_n,outlier_union_n
tsne_joint,0,0.9709016983649996,0.9595540208442577,-0.30329978576822897,0.003293423894930568,0.0,0,20
umap_lit_fit_transform,0,0.9432057399424598,0.9417547259630139,-0.2154339349290261,0.03916954713536746,0.0,0,20
tsne_joint,1,0.9702715719876983,0.9591950176118593,-0.3281907433380084,0.0014041003279571097,0.0,0,20
umap_lit_fit_transform,1,0.9424242424242424,0.9392365482527892,-0.12123360510457286,0.249656210823395,0.0,0,20
tsne_joint,2,0.9690654032136765,0.9591631205331,-0.30820091549404305,0.0028002283074624774,0.0,0,20
umap_lit_fit_transform,2,0.944774015367531,0.9420070834068336,-0.07404096604657615,0.4830349337892461,0.0,0,20
tsne_joint,42,0.9693003005021169,0.959316484265316,-0.32381363377155803,0.0016397556619594132,0.0,0,20
umap_lit_fit_transform,42,0.9428071506062846,0.9400083609009475,-0.3317201732348997,0.0012369277704714226,0.0,0,20
tsne_joint,99,0.9699430678097908,0.9609395300658159,-0.2964721113388715,0.004110000582211271,0.0,0,20
umap_lit_fit_transform,99,0.9423280753463454,0.9402963206397459,-0.058736494921628156,0.5781026651210268,0.0,0,20
