metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,47.0,0.2541664622498213,-0.2878787878787879,small,human-y1,human-y2,3.3138888888888887,3.481818181818181,0.36309494607117326
overall_score,12,23,44.5,0.0012158025196084543,-0.677536231884058,large,human-y1,claude-opus-4-5,3.3138888888888887,3.7768115942028984,0.003039506299021136
overall_score,12,23,113.0,0.3939315755610636,-0.18115942028985507,small,human-y1,gemini-3-pro-preview,3.3138888888888887,3.479710144927536,0.4924144694513295
overall_score,12,23,44.5,0.00121483614917332,-0.677536231884058,large,human-y1,gpt-5.2,3.3138888888888887,3.802898550724638,0.003039506299021136
overall_score,11,23,70.5,0.04095001886336328,-0.4426877470355731,medium,human-y2,claude-opus-4-5,3.481818181818181,3.7768115942028984,0.0682500314389388
overall_score,11,23,141.5,0.5930964157963414,0.11857707509881422,negligible,human-y2,gemini-3-pro-preview,3.481818181818181,3.479710144927536,0.6589960175514905
overall_score,11,23,63.5,0.021264703143737747,-0.4980237154150198,large,human-y2,gpt-5.2,3.481818181818181,3.802898550724638,0.042529406287475494
overall_score,23,23,422.5,0.0005358287430238147,0.5973534971644613,large,claude-opus-4-5,gemini-3-pro-preview,3.7768115942028984,3.479710144927536,0.0026791437151190735
overall_score,23,23,268.0,0.94740607292555,0.013232514177693762,negligible,claude-opus-4-5,gpt-5.2,3.7768115942028984,3.802898550724638,0.94740607292555
overall_score,23,23,95.0,0.00020066002035971347,-0.6408317580340265,large,gemini-3-pro-preview,gpt-5.2,3.479710144927536,3.802898550724638,0.0020066002035971347
Relevance_to_Emergent_Phenomena,12,11,62.0,0.827075870899772,-0.06060606060606061,negligible,human-y1,human-y2,3.0833333333333335,3.333333333333333,0.8978765474318214
Relevance_to_Emergent_Phenomena,12,23,16.0,1.4768824738409604e-05,-0.8840579710144928,large,human-y1,claude-opus-4-5,3.0833333333333335,4.594202898550725,2.4614707897349343e-05
Relevance_to_Emergent_Phenomena,12,23,3.0,4.6836038824944964e-07,-0.9782608695652174,large,human-y1,gemini-3-pro-preview,3.0833333333333335,4.884057971014492,2.4262669987368288e-06
Relevance_to_Emergent_Phenomena,12,23,15.0,1.3485679821606808e-05,-0.8913043478260869,large,human-y1,gpt-5.2,3.0833333333333335,4.608695652173914,2.4614707897349343e-05
Relevance_to_Emergent_Phenomena,11,23,4.5,4.9855172463553854e-06,-0.9644268774703557,large,human-y2,claude-opus-4-5,3.333333333333333,4.594202898550725,1.3125458217443098e-05
Relevance_to_Emergent_Phenomena,11,23,0.0,4.852533997473657e-07,-1.0,large,human-y2,gemini-3-pro-preview,3.333333333333333,4.884057971014492,2.4262669987368288e-06
Relevance_to_Emergent_Phenomena,11,23,4.5,5.2501832869772396e-06,-0.9644268774703557,large,human-y2,gpt-5.2,3.333333333333333,4.608695652173914,1.3125458217443098e-05
Relevance_to_Emergent_Phenomena,23,23,151.5,0.0051088750053077244,-0.42722117202268434,medium,claude-opus-4-5,gemini-3-pro-preview,4.594202898550725,4.884057971014492,0.007298392864725321
Relevance_to_Emergent_Phenomena,23,23,258.5,0.8978765474318214,-0.022684310018903593,negligible,claude-opus-4-5,gpt-5.2,4.594202898550725,4.608695652173914,0.8978765474318214
Relevance_to_Emergent_Phenomena,23,23,375.0,0.006288360981463302,0.41776937618147447,medium,gemini-3-pro-preview,gpt-5.2,4.884057971014492,4.608695652173914,0.007860451226829128
Novelty_and_Significance,12,11,46.5,0.17906193549558702,-0.29545454545454547,small,human-y1,human-y2,3.694444444444444,3.909090909090909,0.2984365591593117
Novelty_and_Significance,12,23,81.0,0.019654282778072102,-0.41304347826086957,medium,human-y1,claude-opus-4-5,3.694444444444444,3.971014492753623,0.049135706945180255
Novelty_and_Significance,12,23,72.0,0.004215681184887443,-0.4782608695652174,large,human-y1,gemini-3-pro-preview,3.694444444444444,4.0,0.021078405924437216
Novelty_and_Significance,12,23,66.0,0.00037273458928405623,-0.5217391304347826,large,human-y1,gpt-5.2,3.694444444444444,4.0144927536231885,0.0037273458928405623
Novelty_and_Significance,11,23,106.0,0.3394501886010781,-0.16205533596837945,small,human-y2,claude-opus-4-5,3.909090909090909,3.971014492753623,0.42431273575134765
Novelty_and_Significance,11,23,95.0,0.10524042240426819,-0.2490118577075099,small,human-y2,gemini-3-pro-preview,3.909090909090909,4.0,0.21048084480853638
Novelty_and_Significance,11,23,88.0,0.012350469187909508,-0.30434782608695654,small,human-y2,gpt-5.2,3.909090909090909,4.0144927536231885,0.04116823062636503
Novelty_and_Significance,23,23,243.5,0.5314924538543901,-0.07939508506616257,negligible,claude-opus-4-5,gemini-3-pro-preview,3.971014492753623,4.0,0.5905471709493224
Novelty_and_Significance,23,23,232.0,0.2601753664245543,-0.12287334593572778,negligible,claude-opus-4-5,gpt-5.2,3.971014492753623,4.0144927536231885,0.37167909489222045
Novelty_and_Significance,23,23,254.0,0.6841818424521849,-0.03969754253308128,negligible,gemini-3-pro-preview,gpt-5.2,4.0,4.0144927536231885,0.6841818424521849
Rigor_of_Approach,12,11,38.0,0.04613596560293146,-0.42424242424242425,medium,human-y1,human-y2,3.111111111111111,3.3636363636363638,0.09227193120586293
Rigor_of_Approach,12,23,120.0,0.49379977879113623,-0.13043478260869565,negligible,human-y1,claude-opus-4-5,3.111111111111111,3.260869565217391,0.6172497234889203
Rigor_of_Approach,12,23,150.0,0.6501565102666571,0.08695652173913043,negligible,human-y1,gemini-3-pro-preview,3.111111111111111,3.0724637681159415,0.7223961225185079
Rigor_of_Approach,12,23,73.0,0.006396187912362031,-0.47101449275362317,medium,human-y1,gpt-5.2,3.111111111111111,3.44927536231884,0.031980939561810154
Rigor_of_Approach,11,23,162.5,0.14589847611956988,0.2845849802371542,small,human-y2,claude-opus-4-5,3.3636363636363638,3.260869565217391,0.20842639445652839
Rigor_of_Approach,11,23,188.0,0.011485376850280834,0.48616600790513836,large,human-y2,gemini-3-pro-preview,3.3636363636363638,3.0724637681159415,0.03828458950093611
Rigor_of_Approach,11,23,120.0,0.7891468451166554,-0.05138339920948617,negligible,human-y2,gpt-5.2,3.3636363636363638,3.44927536231884,0.7891468451166554
Rigor_of_Approach,23,23,331.0,0.10944429126420535,0.2514177693761815,small,claude-opus-4-5,gemini-3-pro-preview,3.260869565217391,3.0724637681159415,0.1824071521070089
Rigor_of_Approach,23,23,169.0,0.016936892049316594,-0.3610586011342155,medium,claude-opus-4-5,gpt-5.2,3.260869565217391,3.44927536231884,0.04234223012329148
Rigor_of_Approach,23,23,119.0,0.00022702838670737356,-0.5500945179584121,large,gemini-3-pro-preview,gpt-5.2,3.0724637681159415,3.44927536231884,0.0022702838670737354
Scope_and_Timeline,12,11,63.0,0.8692005856184151,-0.045454545454545456,negligible,human-y1,human-y2,2.944444444444444,3.060606060606061,0.8692005856184151
