evaluator,metric,n_proposals,bias_mean_error,mae,rmse,spearman_rho,spearman_p,kendall_tau,kendall_p,spearman_q,kendall_q
claude-opus-4-5,Scientific_Merit_and_Innovation,7,,,,,,,,1.0,1.0
claude-opus-4-5,Feasibility,7,,,,,,,,1.0,1.0
claude-opus-4-5,Data_Sources_and_Limitations,7,,,,,,,,1.0,1.0
claude-opus-4-5,Open_Science_Compliance,7,,,,,,,,1.0,1.0
claude-opus-4-5,overall_shared,7,,,,,,,,1.0,1.0
gemini-3-pro-preview,Scientific_Merit_and_Innovation,7,,,,,,,,1.0,1.0
gemini-3-pro-preview,Feasibility,7,,,,,,,,1.0,1.0
gemini-3-pro-preview,Data_Sources_and_Limitations,7,,,,,,,,1.0,1.0
gemini-3-pro-preview,Open_Science_Compliance,7,,,,,,,,1.0,1.0
gemini-3-pro-preview,overall_shared,7,,,,,,,,1.0,1.0
gpt-5.2,Scientific_Merit_and_Innovation,7,,,,,,,,1.0,1.0
gpt-5.2,Feasibility,7,,,,,,,,1.0,1.0
gpt-5.2,Data_Sources_and_Limitations,7,,,,,,,,1.0,1.0
gpt-5.2,Open_Science_Compliance,7,,,,,,,,1.0,1.0
gpt-5.2,overall_shared,7,,,,,,,,1.0,1.0
