comparison,comparison_label,metric,left_condition,right_condition,n_proposals,left_mean_ai_metric,right_mean_ai_metric,mean_difference_left_minus_right,median_difference_left_minus_right,wilcoxon_statistic,p_value
all_ai,All AI,centroid_loo,baseline,one_at_a_time,23,0.03390701580769739,0.01444699114173678,0.019460024665960602,0.019175598575385467,0.0,2.384185791015625e-07
all_ai,All AI,centroid_loo,baseline,persona,23,0.03390701580769739,0.015102777456919785,0.018804238350777602,0.01842175598386972,0.0,2.384185791015625e-07
all_ai,All AI,centroid_loo,one_at_a_time,persona,23,0.01444699114173678,0.015102777456919785,-0.0006557863151830012,-0.0007733974936704573,66.0,0.027674198150634766
all_ai,All AI,global_centroid_dist,baseline,one_at_a_time,23,0.01734168957966522,0.007386716296861239,0.009954973282803979,0.01011713673297591,0.0,2.384185791015625e-07
all_ai,All AI,global_centroid_dist,baseline,persona,23,0.01734168957966522,0.007694424752377096,0.00964726482728813,0.009190300171052797,0.0,2.384185791015625e-07
all_ai,All AI,global_centroid_dist,one_at_a_time,persona,23,0.007386716296861239,0.007694424752377096,-0.00030770845551585346,-0.0004339905500897485,67.0,0.030086994171142578
all_ai,All AI,mean_pairwise,baseline,one_at_a_time,23,0.0478051940106457,0.020481045374465528,0.027324148636180177,0.026646502245040164,0.0,2.384185791015625e-07
all_ai,All AI,mean_pairwise,baseline,persona,23,0.0478051940106457,0.021365353113375837,0.02643984089726987,0.026387447970254083,0.0,2.384185791015625e-07
all_ai,All AI,mean_pairwise,one_at_a_time,persona,23,0.020481045374465528,0.021365353113375837,-0.0008843077389103035,-0.0011475494929722371,66.0,0.027674198150634766
all_ai,All AI,medoid_dist,baseline,one_at_a_time,23,0.03021285280980746,0.012737313366864492,0.017475539442942972,0.01750978378804175,0.0,2.384185791015625e-07
all_ai,All AI,medoid_dist,baseline,persona,23,0.03021285280980746,0.013278138739071433,0.016934714070736028,0.016636139711180886,0.0,2.384185791015625e-07
all_ai,All AI,medoid_dist,one_at_a_time,persona,23,0.012737313366864492,0.013278138739071433,-0.000540825372206942,-0.0005644431590160603,57.0,0.012294530868530273
all_ai,All AI,mst_dispersion,baseline,one_at_a_time,23,0.040649264368147406,0.016870716438768574,0.02377854792937882,0.023407689963213837,0.0,2.384185791015625e-07
all_ai,All AI,mst_dispersion,baseline,persona,23,0.040649264368147406,0.01771925410224894,0.02293001026589847,0.022421019417898994,0.0,2.384185791015625e-07
all_ai,All AI,mst_dispersion,one_at_a_time,persona,23,0.016870716438768574,0.01771925410224894,-0.0008485376634803605,-0.0006508581076495115,39.0,0.0016598701477050781
all_ai,All AI,nn,baseline,one_at_a_time,23,0.0384147118828006,0.015357045633940723,0.023057666248859875,0.022843708943971346,0.0,2.384185791015625e-07
all_ai,All AI,nn,baseline,persona,23,0.0384147118828006,0.016350779923026925,0.022063931959773676,0.02213430457062773,0.0,2.384185791015625e-07
all_ai,All AI,nn,one_at_a_time,persona,23,0.015357045633940723,0.016350779923026925,-0.0009937342890862042,-0.0006597059222804777,19.0,7.319450378417969e-05
all_ai,All AI,remote_clique,baseline,one_at_a_time,23,0.0478051940106457,0.020481045374465528,0.027324148636180177,0.026646502245040164,0.0,2.384185791015625e-07
all_ai,All AI,remote_clique,baseline,persona,23,0.0478051940106457,0.021365353113375837,0.02643984089726987,0.026387447970254083,0.0,2.384185791015625e-07
all_ai,All AI,remote_clique,one_at_a_time,persona,23,0.020481045374465528,0.021365353113375837,-0.0008843077389103035,-0.0011475494929722371,66.0,0.027674198150634766
all_ai,All AI,span90,baseline,one_at_a_time,23,0.0212210096795571,0.009382353015655985,0.011838656663901121,0.011916956725260124,0.0,2.384185791015625e-07
all_ai,All AI,span90,baseline,persona,23,0.0212210096795571,0.009654434882524461,0.011566574797032641,0.01175461792689269,0.0,2.384185791015625e-07
all_ai,All AI,span90,one_at_a_time,persona,23,0.009382353015655985,0.009654434882524461,-0.00027208186686847866,-0.0003785395151284232,102.0,0.28614330291748047
all_ai,All AI,sparseness,baseline,one_at_a_time,23,0.01734168957966522,0.007386716296861239,0.009954973282803979,0.01011713673297591,0.0,2.384185791015625e-07
all_ai,All AI,sparseness,baseline,persona,23,0.01734168957966522,0.007694424752377096,0.00964726482728813,0.009190300171052797,0.0,2.384185791015625e-07
all_ai,All AI,sparseness,one_at_a_time,persona,23,0.007386716296861239,0.007694424752377096,-0.00030770845551585346,-0.0004339905500897485,67.0,0.030086994171142578
claude,Claude,centroid_loo,baseline,one_at_a_time,23,0.03609997287164484,0.008330492426410683,0.02776948044523415,0.02760375164901554,0.0,2.384185791015625e-07
claude,Claude,centroid_loo,baseline,persona,23,0.03609997287164484,0.009903687092812903,0.026196285778831933,0.02543758217130846,0.0,2.384185791015625e-07
claude,Claude,centroid_loo,one_at_a_time,persona,23,0.008330492426410683,0.009903687092812903,-0.0015731946664022194,-0.0013638024626740353,32.0,0.0006387233734130859
claude,Claude,global_centroid_dist,baseline,one_at_a_time,23,0.018411234208084576,0.00426151584428612,0.014149718363798462,0.014313476630017634,0.0,2.384185791015625e-07
claude,Claude,global_centroid_dist,baseline,persona,23,0.018411234208084576,0.005122668191058839,0.01328856601702574,0.012806032962487038,0.0,2.384185791015625e-07
claude,Claude,global_centroid_dist,one_at_a_time,persona,23,0.00426151584428612,0.005122668191058839,-0.000861152346772719,-0.0007657171496837749,29.0,0.00040793418884277344
claude,Claude,mean_pairwise,baseline,one_at_a_time,23,0.05079897953116375,0.011830748164135478,0.038968231367028275,0.039449387788772584,0.0,2.384185791015625e-07
claude,Claude,mean_pairwise,baseline,persona,23,0.05079897953116375,0.01414668819178706,0.0366522913393767,0.037546151876449586,0.0,2.384185791015625e-07
claude,Claude,mean_pairwise,one_at_a_time,persona,23,0.011830748164135478,0.01414668819178706,-0.00231594002765158,-0.0020315051078796404,30.0,0.00047516822814941406
claude,Claude,medoid_dist,baseline,one_at_a_time,23,0.0322520841722903,0.00765113554139068,0.02460094863089963,0.024622172117233276,0.0,2.384185791015625e-07
claude,Claude,medoid_dist,baseline,persona,23,0.0322520841722903,0.009282300524089647,0.022969783648200657,0.022458320856094362,0.0,2.384185791015625e-07
claude,Claude,medoid_dist,one_at_a_time,persona,23,0.00765113554139068,0.009282300524089647,-0.0016311649826989659,-0.001622511943181356,15.0,3.266334533691406e-05
claude,Claude,mst_dispersion,baseline,one_at_a_time,23,0.04407606772754503,0.010469619735427526,0.033606447992117504,0.033645546436309806,0.0,2.384185791015625e-07
claude,Claude,mst_dispersion,baseline,persona,23,0.04407606772754503,0.012659187722897185,0.03141688000464785,0.03186899423599243,0.0,2.384185791015625e-07
claude,Claude,mst_dispersion,one_at_a_time,persona,23,0.010469619735427526,0.012659187722897185,-0.002189567987469659,-0.0022134900093078603,19.0,7.319450378417969e-05
claude,Claude,nn,baseline,one_at_a_time,23,0.04234061422555343,0.010144445602444634,0.0321961686231088,0.0326418548822403,0.0,2.384185791015625e-07
claude,Claude,nn,baseline,persona,23,0.04234061422555343,0.012291908307351926,0.030048705918201503,0.030831661820411686,0.0,2.384185791015625e-07
claude,Claude,nn,one_at_a_time,persona,23,0.010144445602444634,0.012291908307351926,-0.002147462704907293,-0.0020186305046081543,15.0,3.266334533691406e-05
claude,Claude,remote_clique,baseline,one_at_a_time,23,0.05079897953116375,0.011830748164135478,0.038968231367028275,0.039449387788772584,0.0,2.384185791015625e-07
claude,Claude,remote_clique,baseline,persona,23,0.05079897953116375,0.01414668819178706,0.0366522913393767,0.037546151876449586,0.0,2.384185791015625e-07
claude,Claude,remote_clique,one_at_a_time,persona,23,0.011830748164135478,0.01414668819178706,-0.00231594002765158,-0.0020315051078796404,30.0,0.00047516822814941406
claude,Claude,span90,baseline,one_at_a_time,23,0.02229784805125781,0.004987749339562879,0.017310098711694928,0.017794458553237157,0.0,2.384185791015625e-07
claude,Claude,span90,baseline,persona,23,0.02229784805125781,0.005941278220619217,0.016356569830638594,0.016617228717780194,0.0,2.384185791015625e-07
claude,Claude,span90,one_at_a_time,persona,23,0.004987749339562879,0.005941278220619217,-0.0009535288810563375,-0.0007937522799430384,48.0,0.004851341247558594
claude,Claude,sparseness,baseline,one_at_a_time,23,0.018411234208084576,0.00426151584428612,0.014149718363798462,0.014313476630017634,0.0,2.384185791015625e-07
claude,Claude,sparseness,baseline,persona,23,0.018411234208084576,0.005122668191058839,0.01328856601702574,0.012806032962487038,0.0,2.384185791015625e-07
claude,Claude,sparseness,one_at_a_time,persona,23,0.00426151584428612,0.005122668191058839,-0.000861152346772719,-0.0007657171496837749,29.0,0.00040793418884277344
gemini,Gemini,centroid_loo,baseline,one_at_a_time,23,0.03417962350973249,0.01108916118646912,0.02309046232326338,0.022987210477921106,0.0,2.384185791015625e-07
gemini,Gemini,centroid_loo,baseline,persona,23,0.03417962350973249,0.011827774437518108,0.02235184907221439,0.022198210244187968,0.0,2.384185791015625e-07
gemini,Gemini,centroid_loo,one_at_a_time,persona,23,0.01108916118646912,0.011827774437518108,-0.0007386132510489836,-0.0007163964574039543,92.0,0.16952300071716309
gemini,Gemini,global_centroid_dist,baseline,one_at_a_time,23,0.017483569649847562,0.00575308441135004,0.011730485238497523,0.011870862481488054,0.0,2.384185791015625e-07
