condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
baseline,all_ai,All AI,centroid_loo,exploratory,all_proposals,23,0.024214177718946416,0.03390701580769739,-0.009692838088750967,-0.009184783234479448,1.4002959836693853,8.0,5.9604644775390625e-06,-0.8260869565217391
baseline,all_ai,All AI,global_centroid_dist,exploratory,all_proposals,23,0.012411505396373668,0.01734168957966522,-0.004930184183291556,-0.004753659900152644,1.3972269298397944,7.0,4.5299530029296875e-06,-0.8260869565217391
baseline,all_ai,All AI,mean_pairwise,confirmatory,all_proposals,23,0.034286664275155546,0.0478051940106457,-0.013518529735490156,-0.012467150177274434,1.394279525911356,8.0,5.9604644775390625e-06,-0.8260869565217391
baseline,all_ai,All AI,medoid_dist,exploratory,all_proposals,23,0.02150511538636857,0.03021285280980746,-0.008707737423438888,-0.008461441912930526,1.4049147036410907,7.0,4.5299530029296875e-06,-0.9130434782608695
baseline,all_ai,All AI,mst_dispersion,exploratory,all_proposals,23,0.029076105442599975,0.040649264368147406,-0.011573158925547427,-0.011553742480947562,1.3980298856872133,5.0,2.384185791015625e-06,-0.9130434782608695
baseline,all_ai,All AI,nn,confirmatory,all_proposals,23,0.02747537951538528,0.0384147118828006,-0.010939332367415315,-0.010944838226933179,1.398150364448639,9.0,7.867813110351562e-06,-0.9130434782608695
baseline,all_ai,All AI,remote_clique,compatibility,all_proposals,23,0.034286664275155546,0.0478051940106457,-0.013518529735490156,-0.012467150177274434,1.394279525911356,8.0,5.9604644775390625e-06,-0.8260869565217391
baseline,all_ai,All AI,span90,exploratory,all_proposals,23,0.01560539749800454,0.0212210096795571,-0.0056156121815525645,-0.005758962581696947,1.3598506338765564,21.0,0.00010657310485839844,-0.6521739130434783
baseline,all_ai,All AI,sparseness,exploratory,all_proposals,23,0.012411505396373668,0.01734168957966522,-0.004930184183291556,-0.004753659900152644,1.3972269298397944,7.0,4.5299530029296875e-06,-0.8260869565217391
baseline,claude,Claude,centroid_loo,exploratory,all_proposals,23,0.024214177718946416,0.03609997287164484,-0.011885795152698424,-0.011617778821007452,1.490860986098998,4.0,1.6689300537109375e-06,-0.8260869565217391
baseline,claude,Claude,global_centroid_dist,exploratory,all_proposals,23,0.012411505396373668,0.018411234208084576,-0.005999728811710912,-0.006077354838215809,1.4834005722999466,5.0,2.384185791015625e-06,-0.8260869565217391
