comparison,comparison_label,metric,left_condition,right_condition,n_proposals,left_mean_ai_metric,right_mean_ai_metric,mean_difference_left_minus_right,median_difference_left_minus_right,wilcoxon_statistic,p_value
all_ai,All AI,centroid_loo,baseline,one_at_a_time,23,0.04264110440516913,0.023454972573327303,0.019186131831841837,0.018751782857945327,0.0,2.384185791015625e-07
all_ai,All AI,centroid_loo,baseline,persona,23,0.04264110440516913,0.023448869384572534,0.01919223502059659,0.018694838967051215,0.0,2.384185791015625e-07
all_ai,All AI,centroid_loo,one_at_a_time,persona,23,0.023454972573327303,0.023448869384572534,6.103188754757804e-06,3.4493075866625506e-05,136.0,0.9643125534057617
all_ai,All AI,global_centroid_dist,baseline,one_at_a_time,23,0.02172818457316741,0.012032559447990056,0.009695625125177357,0.01025979824314341,0.0,2.384185791015625e-07
all_ai,All AI,global_centroid_dist,baseline,persona,23,0.02172818457316741,0.012033711751619006,0.009694472821548407,0.00962535082099301,0.0,2.384185791015625e-07
all_ai,All AI,global_centroid_dist,one_at_a_time,persona,23,0.012032559447990056,0.012033711751619006,-1.152303628949541e-06,1.8869179289811647e-05,129.0,0.7997725009918213
all_ai,All AI,mean_pairwise,baseline,one_at_a_time,23,0.059855125730328924,0.03322178438830326,0.02663334134202566,0.02712082068125407,0.0,2.384185791015625e-07
all_ai,All AI,mean_pairwise,baseline,persona,23,0.059855125730328924,0.03321467810782834,0.026640447622500594,0.02689794983182634,0.0,2.384185791015625e-07
all_ai,All AI,mean_pairwise,one_at_a_time,persona,23,0.03322178438830326,0.03321467810782834,7.106280474927784e-06,5.018540791103254e-05,134.0,0.9168474674224854
all_ai,All AI,medoid_dist,baseline,one_at_a_time,23,0.037845969232840934,0.021327634450002308,0.016518334782838623,0.016789678918136344,0.0,2.384185791015625e-07
all_ai,All AI,medoid_dist,baseline,persona,23,0.037845969232840934,0.0215960161182123,0.01624995311462863,0.01622260617904174,0.0,2.384185791015625e-07
all_ai,All AI,medoid_dist,one_at_a_time,persona,23,0.021327634450002308,0.0215960161182123,-0.00026838166820999297,7.846265922099166e-05,112.0,0.44520044326782227
all_ai,All AI,mst_dispersion,baseline,one_at_a_time,23,0.05118122794239955,0.028983852658580177,0.022197375283819376,0.02226978856274205,0.0,2.384185791015625e-07
all_ai,All AI,mst_dispersion,baseline,persona,23,0.05118122794239955,0.02940600095106553,0.021775226991334017,0.021400169327727748,0.0,2.384185791015625e-07
all_ai,All AI,mst_dispersion,one_at_a_time,persona,23,0.028983852658580177,0.02940600095106553,-0.0004221482924853491,4.1877466534809976e-05,110.0,0.41003966331481934
all_ai,All AI,nn,baseline,one_at_a_time,23,0.0484787241050952,0.0278558065917621,0.02062291751333309,0.020226741088179002,0.0,2.384185791015625e-07
all_ai,All AI,nn,baseline,persona,23,0.0484787241050952,0.028409495470148236,0.020069228634946958,0.019356988113878405,0.0,2.384185791015625e-07
all_ai,All AI,nn,one_at_a_time,persona,23,0.0278558065917621,0.028409495470148236,-0.0005536888783861299,-8.33844963884188e-05,96.0,0.21117830276489258
all_ai,All AI,remote_clique,baseline,one_at_a_time,23,0.059855125730328924,0.03322178438830326,0.02663334134202566,0.02712082068125407,0.0,2.384185791015625e-07
all_ai,All AI,remote_clique,baseline,persona,23,0.059855125730328924,0.03321467810782834,0.026640447622500594,0.02689794983182634,0.0,2.384185791015625e-07
all_ai,All AI,remote_clique,one_at_a_time,persona,23,0.03322178438830326,0.03321467810782834,7.106280474927784e-06,5.018540791103254e-05,134.0,0.9168474674224854
all_ai,All AI,span90,baseline,one_at_a_time,23,0.026552188419759825,0.014358099787922938,0.01219408863183689,0.012481150189317397,0.0,2.384185791015625e-07
all_ai,All AI,span90,baseline,persona,23,0.026552188419759825,0.014091864793965792,0.012460323625794035,0.01235945659249803,0.0,2.384185791015625e-07
all_ai,All AI,span90,one_at_a_time,persona,23,0.014358099787922938,0.014091864793965792,0.00026623499395714295,0.000626410040601804,101.0,0.2725830078125
