condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial,field_branch
baseline,all_ai,All AI,centroid_loo,exploratory,all_proposals,23,0.031169790497397903,0.04264110440516913,-0.011471313907771228,-0.01294939257931093,1.368026660581144,6.0,3.337860107421875e-06,-0.7391304347826086,whole_review
baseline,all_ai,All AI,global_centroid_dist,exploratory,all_proposals,23,0.015838638296860278,0.02172818457316741,-0.005889546276307133,-0.006316579669870634,1.3718467563890657,6.0,3.337860107421875e-06,-0.7391304347826086,whole_review
baseline,all_ai,All AI,mean_pairwise,confirmatory,all_proposals,23,0.043839653419411706,0.059855125730328924,-0.016015472310917222,-0.018714055560884027,1.365319318510528,6.0,3.337860107421875e-06,-0.7391304347826086,whole_review
baseline,all_ai,All AI,medoid_dist,exploratory,all_proposals,23,0.02786887421988058,0.037845969232840934,-0.009977095012960345,-0.010168544811643525,1.3580013650441278,2.0,7.152557373046875e-07,-0.9130434782608695,whole_review
baseline,all_ai,All AI,mst_dispersion,exploratory,all_proposals,23,0.03867955397868501,0.05118122794239955,-0.012501673963714531,-0.013897579784649478,1.3232114302715017,4.0,1.6689300537109375e-06,-0.8260869565217391,whole_review
baseline,all_ai,All AI,nn,confirmatory,all_proposals,23,0.03759830321954644,0.0484787241050952,-0.010880420885548749,-0.011629753824555396,1.2893859550526814,5.0,2.384185791015625e-06,-0.8260869565217391,whole_review
baseline,all_ai,All AI,remote_clique,compatibility,all_proposals,23,0.043839653419411706,0.059855125730328924,-0.016015472310917222,-0.018714055560884027,1.365319318510528,6.0,3.337860107421875e-06,-0.7391304347826086,whole_review
baseline,all_ai,All AI,span90,exploratory,all_proposals,23,0.018415923730795505,0.026552188419759825,-0.008136264688964322,-0.009307143955383946,1.4418059505404381,6.0,3.337860107421875e-06,-0.8260869565217391,whole_review
baseline,all_ai,All AI,sparseness,exploratory,all_proposals,23,0.015838638296860278,0.02172818457316741,-0.005889546276307133,-0.006316579669870634,1.3718467563890657,6.0,3.337860107421875e-06,-0.7391304347826086,whole_review
baseline,claude,Claude,centroid_loo,exploratory,all_proposals,23,0.031169790497397903,0.04842306427853014,-0.017253273781132235,-0.0158706294182743,1.5535254971499588,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,global_centroid_dist,exploratory,all_proposals,23,0.015838638296860278,0.024655619831746047,-0.008816981534885766,-0.008444807354088368,1.5566754773757019,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,mean_pairwise,confirmatory,all_proposals,23,0.043839653419411706,0.06783718466758729,-0.02399753124817558,-0.022815511624018354,1.547393270165538,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,medoid_dist,exploratory,all_proposals,23,0.02786887421988058,0.04305554658606432,-0.01518667236618374,-0.013228413462638852,1.5449331123447445,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,mst_dispersion,exploratory,all_proposals,23,0.03867955397868501,0.058800394725108486,-0.02012084074642348,-0.018686425685882566,1.5201931945107585,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,nn,confirmatory,all_proposals,23,0.03759830321954644,0.056445783851803225,-0.01884748063225677,-0.01542585492134093,1.5012854043492696,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,remote_clique,compatibility,all_proposals,23,0.043839653419411706,0.06783718466758729,-0.02399753124817558,-0.022815511624018354,1.547393270165538,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,span90,exploratory,all_proposals,23,0.018415923730795505,0.02997573018202038,-0.011559806451224867,-0.012235081661540137,1.6277071202187006,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,claude,Claude,sparseness,exploratory,all_proposals,23,0.015838638296860278,0.024655619831746047,-0.008816981534885766,-0.008444807354088368,1.5566754773757019,0.0,2.384185791015625e-07,-1.0,whole_review
baseline,gemini,Gemini,centroid_loo,exploratory,all_proposals,23,0.031169790497397903,0.04375828815831478,-0.012588497660916886,-0.015656933596867907,1.4038685361702312,5.0,2.384185791015625e-06,-0.9130434782608695,whole_review
baseline,gemini,Gemini,global_centroid_dist,exploratory,all_proposals,23,0.015838638296860278,0.02228241517174567,-0.006443776874885389,-0.0074091295109937096,1.4068390700078524,5.0,2.384185791015625e-06,-0.9130434782608695,whole_review
baseline,gemini,Gemini,mean_pairwise,confirmatory,all_proposals,23,0.043839653419411706,0.061390835824220086,-0.017551182404808376,-0.020658198992411295,1.400349478972772,5.0,2.384185791015625e-06,-0.9130434782608695,whole_review
baseline,gemini,Gemini,medoid_dist,exploratory,all_proposals,23,0.02786887421988058,0.03895477557527846,-0.011085901355397875,-0.011765110492706302,1.3977879145003147,1.0,4.76837158203125e-07,-0.9130434782608695,whole_review
baseline,gemini,Gemini,mst_dispersion,exploratory,all_proposals,23,0.03867955397868501,0.05342805726804595,-0.014748503289360925,-0.016172137856483457,1.3812997248491627,1.0,4.76837158203125e-07,-0.9130434782608695,whole_review
baseline,gemini,Gemini,nn,confirmatory,all_proposals,23,0.03759830321954644,0.05127617073231848,-0.01367786751277205,-0.01399889787038168,1.3637894889272888,1.0,4.76837158203125e-07,-0.9130434782608695,whole_review
baseline,gemini,Gemini,remote_clique,compatibility,all_proposals,23,0.043839653419411706,0.061390835824220086,-0.017551182404808376,-0.020658198992411295,1.400349478972772,5.0,2.384185791015625e-06,-0.9130434782608695,whole_review
baseline,gemini,Gemini,span90,exploratory,all_proposals,23,0.018415923730795505,0.026942144439968858,-0.008526220709173348,-0.009083262532954516,1.4629808872913403,10.0,1.0251998901367188e-05,-0.7391304347826086,whole_review
baseline,gemini,Gemini,sparseness,exploratory,all_proposals,23,0.015838638296860278,0.02228241517174567,-0.006443776874885389,-0.0074091295109937096,1.4068390700078524,5.0,2.384185791015625e-06,-0.9130434782608695,whole_review
baseline,gpt,GPT,centroid_loo,exploratory,all_proposals,23,0.031169790497397903,0.03882359140846423,-0.007653800911066329,-0.00838045805749292,1.245551888188189,24.0,0.00018143653869628906,-0.5652173913043478,whole_review
baseline,gpt,GPT,global_centroid_dist,exploratory,all_proposals,23,0.015838638296860278,0.019853690174899265,-0.00401505187803899,-0.004686890374749793,1.2534972895261394,28.0,0.00034928321838378906,-0.5652173913043478,whole_review
baseline,gpt,GPT,mean_pairwise,confirmatory,all_proposals,23,0.043839653419411706,0.054668532765429954,-0.01082887934601825,-0.012279099225997923,1.247011061935616,28.0,0.00034928321838378906,-0.5652173913043478,whole_review
baseline,gpt,GPT,medoid_dist,exploratory,all_proposals,23,0.02786887421988058,0.034002373745475996,-0.006133499525595402,-0.007193252444267273,1.2200842228933673,31.0,0.0005517005920410156,-0.5652173913043478,whole_review
baseline,gpt,GPT,mst_dispersion,exploratory,all_proposals,23,0.03867955397868501,0.04616316734016805,-0.0074836133614830345,-0.008804297447204588,1.1934772403427145,37.0,0.0012786388397216797,-0.5652173913043478,whole_review
