condition,task,text_version,field,comparison,facet,metric,is_primary,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_sub,parity_ref,notes,ratio,log2ratio,z_generation,delta_filtering_aligned
baseline,proposals,rephrased,whole,human_vs_claude,spread,mean_pairwise,True,,0.4155695849880353,0.2551102824148131,1.6289801455839126,ratio,0.2134594705919936,0.264124380773941,0.4012087063942636,0.4244026554443236,permutation,0.1604593025732222,0.0792920707929207,,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6138810240940948,-0.7039690200437944,-1.1571007337583912,1.0
baseline,proposals,rephrased,whole,human_vs_claude,spread,centroid_loo,False,,0.6401212825939969,0.4225055304604217,1.5150601268968724,ratio,0.372256233266222,0.4344386334869177,0.6227398863258421,0.6518210076306633,permutation,0.2176157521335752,0.0463953604639536,0.1391860813918608,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6600398111249801,-0.5993750498399002,,
baseline,proposals,rephrased,whole,human_vs_claude,spread,mst_dispersion,False,,0.1100744023764908,0.0792907371247439,1.3882378493129233,ratio,0.0745914094135476,0.0827805995633218,0.1054820941092839,0.1145076918035611,permutation,0.0307836652517469,0.0662933706629337,0.1724980563168173,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7203376571924814,-0.47325476865595,,
baseline,proposals,rephrased,whole,human_vs_claude,spread,sparseness,False,,0.3227153705432489,0.1591673322885549,2.027522644899252,ratio,0.1307499312980686,0.1667205589109768,0.3019843408641747,0.3364886241253028,permutation,0.163548038254694,0.0624937506249375,0.1659990250974902,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.493212740442507,-1.0197180276368327,,
baseline,proposals,rephrased,whole,human_vs_claude,spread,nn_isolation,False,,0.0819824697359005,0.0530829115155031,1.5444230053575188,ratio,0.0468039605160005,0.0551622862599346,0.076321996724449,0.0850806649798761,permutation,0.0288995582203974,0.0732926707329267,0.1868963103689631,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6474910024851064,-0.6270679495944356,,
baseline,proposals,rephrased,whole,human_vs_claude,spread,spherical_variance,False,,0.2237921297503281,0.130528051634484,1.7145136769298477,ratio,0.1076754786358747,0.1351987112015838,0.2144889596804984,0.2287099285508197,permutation,0.0932640781158441,0.0803919608039196,0.1990286408252378,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.5832557730252023,-0.7777994129117299,,
baseline,proposals,rephrased,whole,human_vs_claude,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,22.0,22.0,22.0,22.0,permutation,0.0,1.0,1.0,23.0,23.0,10000.0,1.0,,1.0,0.0,,
baseline,proposals,rephrased,whole,human_vs_claude,richness,vendi,True,q=1,3.148932867702901,2.131666895325445,1.4772161985572083,ratio,1.939670626329552,2.164596391409919,2.993314374730022,3.202503131029318,permutation,1.017265972377456,0.0556944305569443,,23.0,23.0,10000.0,1.0,,0.6769489807766095,-0.5628809877550156,-1.2532511970836988,1.0
baseline,proposals,rephrased,whole,human_vs_claude,richness,vendi,False,q=2,2.122356380956793,1.4844979066361936,1.4296796051170988,ratio,1.384680439058761,1.507149333385244,2.040587145615147,2.167987477239411,permutation,0.6378584743205995,0.0537946205379462,0.1541179215411792,23.0,23.0,10000.0,1.0,,0.6994574143890752,-0.5156918715501527,,
baseline,proposals,rephrased,whole,human_vs_claude,richness,vendi,False,q=1;kernel=rbf;sigma=0.5x_median,19.71026803311736,14.471485760460173,1.36200721607804,ratio,,,,,permutation,5.238782272657186,0.001999800019998,0.014998500149985,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.7342105006459101,-0.4457343469420727,,
